"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Регистрация","Фоновая регистрация","Обслуживания","0","0","1","0","0"
"Регистрация","Валидация учетных данных","Валидация недопустимого email","1","0","32","0","0"
"Регистрация","Обычная регистрация","","40","0","0","0","0"
"Регистрация","Валидация учетных данных","Валидация допустимого email","2","0","0","0","0"
"Регистрация","Обычная регистрация","Валидация недопустимого номера телефона","0","0","17","0","0"
"Регистрация","Обычная регистрация","Регистрация со Сгенерированным паролем","1","0","0","0","0"
"Регистрация","Обычная регистрация","По телефону","0","0","1","0","0"
"Регистрация","Обычная регистрация","По почте","0","0","1","0","0"
"","Регистрация","Регистрация клиента с перехожом  на страницу создания объекта","0","0","0","1","0"
"Регистрация","Фоновая регистрация","Видео","1","0","0","0","0"
"Регистрация","Фоновая регистрация","Ремонт","0","0","2","1","0"
