"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 07 14:31:42 MSK 2023","Fri Jul 07 14:31:46 MSK 2023","4270","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","registrationClientByInvalidPhoneNumber","Регистрация клиента с невалидным номером телефона Убедиться, что при вводе невалидного номера телефона: 123,456,789 появляется ошибка: Введите корректный номер",""
"passed","Fri Jul 07 14:34:02 MSK 2023","Fri Jul 07 14:34:08 MSK 2023","5831","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub_sub.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:31:51 MSK 2023","Fri Jul 07 14:31:55 MSK 2023","4083","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","registrationClientByInvalidPhoneNumber","Регистрация клиента с невалидным номером телефона Убедиться, что при вводе невалидного номера телефона: 123:456:789 появляется ошибка: Введите корректный номер",""
"passed","Fri Jul 07 14:34:30 MSK 2023","Fri Jul 07 14:34:34 MSK 2023","4308","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub[sub.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"failed","Fri Jul 07 14:34:27 MSK 2023","Fri Jul 07 14:34:41 MSK 2023","13688","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub sub.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:30:01 MSK 2023","Fri Jul 07 14:30:45 MSK 2023","43715","","ru.gasworkers.dev.tests.web.client.newClient.AccountStateNewClientAfterRepairBGRegistrationTest","","ru.gasworkers.dev.tests.web.client.newClient.AccountStateNewClientAfterRepairBGRegistrationTest","accountStateAfterBGRepair","Состояние Кабинета СМЗ - Кабинет после Фоновой Регистрации на Ремонт с указанием телефона и почты",""
"passed","Fri Jul 07 14:30:11 MSK 2023","Fri Jul 07 14:30:52 MSK 2023","41166","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualSelfEmployedRegistration.SelfEmployedRegistrationTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualSelfEmployedRegistration.SelfEmployedRegistrationTest","byPhoneSEMemberRegistrationTest","Регистрация СМЗ",""
"passed","Fri Jul 07 14:32:32 MSK 2023","Fri Jul 07 14:32:37 MSK 2023","4934","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@ появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:32:00 MSK 2023","Fri Jul 07 14:32:26 MSK 2023","25976","","ru.gasworkers.dev.tests.web.registration.bgClientRegistration.MaintenanceBGRegistrationTest","","ru.gasworkers.dev.tests.web.registration.bgClientRegistration.MaintenanceBGRegistrationTest","bgRegistrationMaintenance","Фоновая Регистрация на ТО с указанием телефона и почты на сегодняшнюю дату с одним оборудованием",""
"passed","Fri Jul 07 14:31:07 MSK 2023","Fri Jul 07 14:31:15 MSK 2023","7557","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","registrationClientByInvalidPhoneNumber","Регистрация клиента с невалидным номером телефона Убедиться, что при вводе невалидного номера телефона: 123456789 появляется ошибка: Введите корректный номер",""
